"nation","deferral_reduction","idu_type","deferral_effect_year","calibration_prevalence_1991","donor_non_clearance","contamination_constant_prop","contamination_constant","units_per_donation_scenario","trans_survival_years","year_to_survive_to","hepc_survival_hazard","trans_survival_hazard_scenario","survivor_non_clearance","total_infected","total_infected_70s","total_infected_80s_90s","total_chronic_infected","total_chronic_infected_70s","total_chronic_infected_80s_90s","total_survived_transfusion","total_survived_transfusion_70s","total_survived_transfusion_80s_90s","total_chronic_survived_transfusion","total_chronic_survived_transfusion_70s","total_chronic_survived_transfusion_80s_90s"
"England",0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,2019,1.53,"basic",0.82,22763,7160,15604,18666,5871,12795,8413,2646,5767,6899,2170,4729
"England",0.67,"ever",1985,0.066,0.74,0.25,0.0165,"NBTSS",10,2019,1.53,"basic",0.82,22098,7190,14907,18120,5896,12224,8167,2658,5510,6697,2179,4518
"England",0.67,"ever",1985,0.066,0.74,0.5,0.033,"NBTSS",10,2019,1.53,"basic",0.82,21432,7221,14211,17574,5921,11653,7921,2669,5252,6495,2188,4307
"England",0.67,"ever",1985,0.066,0.74,1,0.066,"NBTSS",10,2019,1.53,"basic",0.82,20101,7282,12819,16483,5971,10511,7429,2692,4738,6092,2207,3885
"England",0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,2019,1.53,"basic",0.82,24358,7160,17198,19973,5871,14103,9003,2646,6357,7382,2170,5212
"England",0.67,"ever",1986,0.066,0.74,0.25,0.0165,"NBTSS",10,2019,1.53,"basic",0.82,23294,7190,16103,19101,5896,13205,8609,2658,5952,7060,2179,4881
"England",0.67,"ever",1986,0.066,0.74,0.5,0.033,"NBTSS",10,2019,1.53,"basic",0.82,22229,7221,15009,18228,5921,12307,8216,2669,5547,6737,2188,4549
"England",0.67,"ever",1986,0.066,0.74,1,0.066,"NBTSS",10,2019,1.53,"basic",0.82,20101,7282,12819,16483,5971,10511,7429,2692,4738,6092,2207,3885
"England",0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,2019,1.53,"basic",0.82,14683,3521,11162,12040,2887,9153,5427,1301,4126,4450,1067,3383
"England",0.33,"ever",1985,0.066,0.74,0.25,0.0165,"NBTSS",10,2019,1.53,"basic",0.82,16038,4461,11576,13151,3658,9493,5928,1649,4279,4861,1352,3509
"England",0.33,"ever",1985,0.066,0.74,0.5,0.033,"NBTSS",10,2019,1.53,"basic",0.82,17392,5401,11991,14261,4429,9832,6428,1996,4432,5271,1637,3634
"England",0.33,"ever",1985,0.066,0.74,1,0.066,"NBTSS",10,2019,1.53,"basic",0.82,20101,7282,12819,16483,5971,10511,7429,2692,4738,6092,2207,3885
"England",0.33,"ever",1986,0.066,0.74,0,0,"NBTSS",10,2019,1.53,"basic",0.82,15068,3521,11547,12356,2887,9469,5569,1301,4268,4567,1067,3500
"England",0.33,"ever",1986,0.066,0.74,0.25,0.0165,"NBTSS",10,2019,1.53,"basic",0.82,16326,4461,11865,13388,3658,9729,6034,1649,4385,4948,1352,3596
"England",0.33,"ever",1986,0.066,0.74,0.5,0.033,"NBTSS",10,2019,1.53,"basic",0.82,17584,5401,12183,14419,4429,9990,6499,1996,4503,5329,1637,3692
"England",0.33,"ever",1986,0.066,0.74,1,0.066,"NBTSS",10,2019,1.53,"basic",0.82,20101,7282,12819,16483,5971,10511,7429,2692,4738,6092,2207,3885
"England",0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,2019,1.53,"age",0.82,22763,7160,15604,18666,5871,12795,8413,2646,5767,6899,2170,4729
"England",0.67,"ever",1985,0.066,0.74,0.25,0.0165,"NBTSS",10,2019,1.53,"age",0.82,22098,7190,14907,18120,5896,12224,8167,2658,5510,6697,2179,4518
"England",0.67,"ever",1985,0.066,0.74,0.5,0.033,"NBTSS",10,2019,1.53,"age",0.82,21432,7221,14211,17574,5921,11653,7921,2669,5252,6495,2188,4307
"England",0.67,"ever",1985,0.066,0.74,1,0.066,"NBTSS",10,2019,1.53,"age",0.82,20101,7282,12819,16483,5971,10511,7429,2692,4738,6092,2207,3885
"England",0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,2019,1.53,"age",0.82,24358,7160,17198,19973,5871,14103,9003,2646,6357,7382,2170,5212
"England",0.67,"ever",1986,0.066,0.74,0.25,0.0165,"NBTSS",10,2019,1.53,"age",0.82,23294,7190,16103,19101,5896,13205,8609,2658,5952,7060,2179,4881
"England",0.67,"ever",1986,0.066,0.74,0.5,0.033,"NBTSS",10,2019,1.53,"age",0.82,22229,7221,15009,18228,5921,12307,8216,2669,5547,6737,2188,4549
"England",0.67,"ever",1986,0.066,0.74,1,0.066,"NBTSS",10,2019,1.53,"age",0.82,20101,7282,12819,16483,5971,10511,7429,2692,4738,6092,2207,3885
"England",0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,2019,1.53,"age",0.82,14683,3521,11162,12040,2887,9153,5427,1301,4126,4450,1067,3383
"England",0.33,"ever",1985,0.066,0.74,0.25,0.0165,"NBTSS",10,2019,1.53,"age",0.82,16038,4461,11576,13151,3658,9493,5928,1649,4279,4861,1352,3509
