"sex","transfusion_age","transfusion_year","transfusion_age_midpoint","survival_0_5","survival_5_10","survival_10_15","survival_15_20"
"female","0",1999,0,0.994382499872896,0.99958806507409,0.999633051942458,0.998990403293215
"female","0",2004,0,0.994668013158817,0.999684038508739,0.999528077702578,NA
"female","0",2009,0,0.995981986574724,0.999796016326361,NA,NA
"female","0",2014,0,0.996328645120273,NA,NA,NA
"female","1 - 9",1999,5,0.999419133314933,0.999428129850374,0.998727643601359,0.998581797872583
"female","1 - 9",2004,5,0.99958806507409,0.999633051942458,0.998990403293215,NA
"female","1 - 9",2009,5,0.999684038508739,0.999528077702578,NA,NA
"female","1 - 9",2014,5,0.999796016326361,NA,NA,NA
"female","10 - 19",1999,15,0.998392023113733,0.998205285786056,0.997952675206302,0.996575691959089
"female","10 - 19",2004,15,0.998434973879026,0.998306148281035,0.99789975855999,NA
"female","10 - 19",2009,15,0.998727643601359,0.998581797872583,NA,NA
"female","10 - 19",2014,15,0.998990403293215,NA,NA,NA
"female","20 - 29",1999,25,0.997727065690219,0.996999596383961,0.995121526294883,0.992234084287607
"female","20 - 29",2004,25,0.998104406574815,0.996840984884159,0.994345606455489,NA
"female","20 - 29",2009,25,0.997952675206302,0.996575691959089,NA,NA
"female","20 - 29",2014,25,0.99789975855999,NA,NA,NA
"female","30 - 39",1999,35,0.995562817806039,0.992819588369645,0.989633176655002,0.983574706029938
"female","30 - 39",2004,35,0.994981059960568,0.992883304200325,0.989589540687242,NA
"female","30 - 39",2009,35,0.995121526294883,0.992234084287607,NA,NA
"female","30 - 39",2014,35,0.994345606455489,NA,NA,NA
"female","40 - 49",1999,45,0.987443222039214,0.981883219794353,0.975537369284395,0.962636040087165
"female","40 - 49",2004,45,0.98808106435393,0.983204733777376,0.975251671247272,NA
"female","40 - 49",2009,45,0.989633176655002,0.983574706029938,NA,NA
"female","40 - 49",2014,45,0.989589540687242,NA,NA,NA
"female","50 - 59",1999,55,0.968659064010703,0.954817046865003,0.937160727262631,0.904267796607786
"female","50 - 59",2004,55,0.971838982126637,0.9601700233894,0.942086424415577,NA
"female","50 - 59",2009,55,0.975537369284395,0.962636040087165,NA,NA
"female","50 - 59",2014,55,0.975251671247272,NA,NA,NA
"female","60 - 69",1999,65,0.921720126539751,0.889640105871781,0.831133745509015,0.735466750791275
"female","60 - 69",2004,65,0.92798163309427,0.897855710521634,0.839548931269791,NA
"female","60 - 69",2009,65,0.937160727262631,0.904267796607786,NA,NA
"female","60 - 69",2014,65,0.942086424415577,NA,NA,NA
"female","70 - 79",1999,75,0.792870585837973,0.696279680834055,0.561115380144889,0.359356124101103
"female","70 - 79",2004,75,0.810430908862806,0.717676602596061,0.560906311653374,NA
"female","70 - 79",2009,75,0.831133745509015,0.735466750791275,NA,NA
"female","70 - 79",2014,75,0.839548931269791,NA,NA,NA
"female","80+",1999,90,0.335017764276813,0.164040814329323,NA,NA
"female","80+",2004,90,0.335142497747599,0.189847406686763,NA,NA
"female","80+",2009,90,0.360845832824575,0.186847618059266,NA,NA
"female","80+",2014,90,0.359356124101103,NA,NA,NA
"male","0",1999,0,0.992910774498942,0.999448119228449,0.999452116740949,0.998152305191254
"male","0",2004,0,0.993349146018856,0.999400141391599,0.999338170558691,NA
"male","0",2009,0,0.994841334774828,0.999583065720163,NA,NA
"male","0",2014,0,0.995795488916518,NA,NA,NA
"male","1 - 9",1999,5,0.99924322211544,0.999285201386998,0.997770911009858,0.996677394280053
"male","1 - 9",2004,5,0.999448119228449,0.999452116740949,0.998152305191254,NA
"male","1 - 9",2009,5,0.999400141391599,0.999338170558691,NA,NA
"male","1 - 9",2014,5,0.999583065720163,NA,NA,NA
"male","10 - 19",1999,15,0.996175707447561,0.994553823264139,0.994351800459706,0.993079135244472
"male","10 - 19",2004,15,0.996510671887672,0.996235640996494,0.995317738470048,NA
"male","10 - 19",2009,15,0.997770911009858,0.996677394280053,NA,NA
"male","10 - 19",2014,15,0.998152305191254,NA,NA,NA
"male","20 - 29",1999,25,0.992593040011301,0.991562547589475,0.990474459045978,0.985657722255145
"male","20 - 29",2004,25,0.994072047492483,0.99258805005856,0.990209376526972,NA
"male","20 - 29",2009,25,0.994351800459706,0.993079135244472,NA,NA
"male","20 - 29",2014,25,0.995317738470048,NA,NA,NA
"male","30 - 39",1999,35,0.990125121223036,0.986453880427949,0.983221508087274,0.975671324877085
"male","30 - 39",2004,35,0.989718462830531,0.98718696913058,0.981510476077902,NA
"male","30 - 39",2009,35,0.990474459045978,0.985657722255145,NA,NA
"male","30 - 39",2014,35,0.990209376526972,NA,NA,NA
"male","40 - 49",1999,45,0.980021575119474,0.971374646467041,0.96076574460003,0.944653983752169
"male","40 - 49",2004,45,0.981335794123127,0.975373697725097,0.963824190507876,NA
"male","40 - 49",2009,45,0.983221508087274,0.975671324877085,NA,NA
"male","40 - 49",2014,45,0.981510476077902,NA,NA,NA
"male","50 - 59",1999,55,0.947776518970466,0.92701733820254,0.906676389929433,0.864153373891082
"male","50 - 59",2004,55,0.956419727787509,0.941253519204157,0.91353462633052,NA
"male","50 - 59",2009,55,0.96076574460003,0.944653983752169,NA,NA
"male","50 - 59",2014,55,0.963824190507876,NA,NA,NA
"male","60 - 69",1999,65,0.87182178616122,0.831199363474816,0.772548347552561,0.661967725104409
"male","60 - 69",2004,65,0.889348802664702,0.85298741558661,0.784239298368074,NA
"male","60 - 69",2009,65,0.906676389929433,0.864153373891082,NA,NA
"male","60 - 69",2014,65,0.91353462633052,NA,NA,NA
"male","70 - 79",1999,75,0.70268317816387,0.605486485005384,0.474891448554891,0.305828501440601
"male","70 - 79",2004,75,0.735483722484783,0.64018746858501,0.480874260907734,NA
"male","70 - 79",2009,75,0.772548347552561,0.661967725104409,NA,NA
"male","70 - 79",2014,75,0.784239298368074,NA,NA,NA
"male","80+",1999,90,0.281271133322898,0.136811898309449,NA,NA
"male","80+",2004,90,0.27837343028522,0.147223043906759,NA,NA
"male","80+",2009,90,0.309099571564052,0.145809523043351,NA,NA
"male","80+",2014,90,0.305828501440601,NA,NA,NA
